Year,,Country,City,Location,Broadcaster,Date
2023,Picture,United Kingdom,Liverpool,Liverpool Arena,BBC,13.5.2023
2022,Picture,Italy,Turin,PalaOlimpico,RAI,14.5.2022
2021,Picture,Netherlands,Rotterdam,Rotterdam Ahoy,NPO,22.5.2021
2019,Picture,Israel,Tel Aviv,Expo Tel Aviv,KAN,18.5.2019
2018,Picture,Portugal,Lisbon,Altice Arena,RTP,12.5.2018
2017,Picture,Ukraine,Kyiv,International Exhibition Centre,NTU,13.5.2017
2016,Picture,Sweden,Stockholm,Globe Arena,SVT,14.5.2016
2015,Picture,Austria,Vienna,Wiener Stadthalle,ORF,23.5.2015
2014,Picture,Denmark,Copenhagen,B&W Hallerna,DR,10.5.2014
2013,Picture,Sweden,Malmö,Malmö Arena,SVT,18.5.2013
2012,Picture,Azerbaijan,Baku,Crystal Hall,İctimai,26.5.2012
2011,Picture,Germany,Düsseldorf,Fortuna Düsseldorf Arena,ARD,14.5.2011
2010,Picture,Norway,Oslo,Telenor Arena,NRK,29.5.2010
2009,Picture,Russia,Moscow,Olimpiysky Arena,C1R,16.5.2009
2008,Picture,Serbia,Belgrade,Belgrade Arena,RTS,24.5.2008
2007,Picture,Finland,Helsinki,Hartwall Arena,YLE,12.5.2007
2006,Picture,Greece,Athen,Olympic Indoor Hall,ERT,20.5.2006
2005,Picture,Ukraine,Kiev,Palace of Sports,NTU,21.5.2005
2004,Picture,Turkey,Istanbul,Abdi Ipekci Sport Center,TRT,15.5.2004
2003,Picture,Latvia,Riga,Skonto Olympic Hall,LTV,24.5.2003
2002,Picture,Estonia,Tallin,Saku Suurhall,ERR,25.5.2002
2001,Picture,Denmark,Copenhagen,Parkenstadion,DR,12.5.2001
2000,Picture,Sweden,Stockholm,Globen,SVT,13.5.2000
1999,Picture,Israel,Jerusalem,Usshishkin Hall,IBA,29.5.1999
1998,Picture,United Kingdom,Birmingham,National Indoor Arena,BBC,9.5.1998
1997,Picture,Ireland,Dublin,The Point Theatre,RTÉ,3.5.1997
1996,Picture,Norway,Oslo,Oslo Spektrum,NRK,18.5.1996
1995,Picture,Ireland,Dublin,Point Theatre,RTÉ,13.5.1995
1994,Picture,Ireland,Dublin,Point Theatre,RTÉ,30.4.1994
1993,Picture,Ireland,Millstreet,Green Glens Arena,RTÉ,15.5.1993
1992,Picture,Sweden,Malmö,MalmöMässan,SVT,9.5.1992
1991,Picture,Italy,Rome,Studio 15 de Cinecittà,RAI,4.5.1991
1990,Picture,Yugoslavia,Zagreb,Koncertna Dvorana Vatroslav Lisinski,JRT,5.5.1990
1989,Picture,Switzerland,Lausanne,Palais de Beaulieu,SRG SSR idée suisse,6.5.1989
1988,Picture,Ireland,Dublin,"Simmonscourt Pavillion, Royal Dublin Society",RTÉ,30.4.1988
1987,Picture,Belgium,Brussels,Palais de Centenaire,RTBF,9.5.1987
1986,Picture,Norway,Bergen,Grieghallen,NRK,3.5.1986
1985,Picture,Sweden,Gothenburg,Scandinavium,SVT,4.5.1985
1984,Picture,Luxembourg,Luxembourg,Théâtre Municipal,RTL,5.5.1984
1983,Picture,Germany,Munich,Rudi-Sedlmayer-Halle,ARD,23.4.1983
1982,Picture,United Kingdom,Harrogate,Harrogate Conference Centre,BBC,24.4.1982
1981,Picture,Ireland,Dublin,"Simmonscourt Pavillion, Royal Dublin Society",RTÉ,4.4.1981
1980,Picture,Netherlands,The Hague,Nederlands Congresgebouw,NOS,19.4.1980
1979,Picture,Israel,Jerusalem,Binyanei Ha'ouama Centre,IBA,31.3.1979
1978,Picture,France,Paris,Palais des Congrès,TF1,22.4.1978
1977,Picture,United Kingdom,London,Wembley Conference Centre,BBC,7.5.1977
1976,Picture,Netherlands,The Hague,Nederlands Congresgebouw,NOS,3.4.1976
1975,Picture,Sweden,Stockholm,St. Eriks Mässan Alvsjö,SR,22.3.1975
1974,Picture,United Kingdom,Brighton,The Dome,BBC,6.4.1974
1973,Picture,Luxembourg,Luxembourg,Nouveau Théâtre,CLT,7.4.1973
1972,Picture,United Kingdom,Edinburgh,Usher Hall,BBC,25.3.1972
1971,Picture,Ireland,Dublin,Gaiety Theatre,RTÉ,3.4.1971
1970,Picture,Netherlands,Amsterdam,RAI Congrescentrum,NOS,21.3.1970
1969,Picture,Spain,Madrid,Teatro Real,TVE,29.3.1969
1968,Picture,United Kingdom,London,Royal Albert Hall,BBC,6.4.1968
1967,Picture,Austria,Vienna,Großer Festsaal der Wiener Hofburg,ORF,8.4.1967
1966,Picture,Luxembourg,Luxembourg,"Grand Auditorium de RTL, Villa Louvigny",CLT,5.3.1966
1965,Picture,Italy,Naples,Sala di Concerto della RAI,RAI,20.3.1965
1964,Picture,Denmark,Copenhagen,Tivolis Koncertsal,DR,21.3.1964
1963,Picture,United Kingdom,London,BBC Television Centre,BBC,23.3.1963
1962,Picture,Luxembourg,Luxembourg,"Grand Auditorium de RTL, Villa Louvigny",RTL,18.3.1962
1961,Picture,France,Cannes,Palais des Festivals,RTF,18.3.1961
1960,Picture,United Kingdom,London,Royal Festival Hall,BBC,29.3.1960
1959,Picture,France,Cannes,Palais des Festivals,RTF,11.3.1959
1958,Picture,Netherlands,Hilversum,AVRO Studios,NOS,12.3.1958
1957,Picture,Germany,Frankfurt,Großer Sendesaal des Hessischen Rundfunks,ARD,3.3.1957
1956,Picture,Switzerland,Lugano,Teatro Kursaal,SSR SRG,24.5.1956